Date,Symbols,Ticker,market_name,value,index_perc_change
2019-04-05,^GSPTSE,S&P/TSX Composite index,Canada,16396.19921875,0.005186469224414791
2019-04-08,^GSPTSE,S&P/TSX Composite index,Canada,16407.30078125,0.0006770814596657182
2019-04-09,^GSPTSE,S&P/TSX Composite index,Canada,16336.5,-0.004315199812202519
2019-04-10,^GSPTSE,S&P/TSX Composite index,Canada,16396.30078125,0.0036605626205123976
2019-04-11,^GSPTSE,S&P/TSX Composite index,Canada,16399.5,0.00019511832532725926
2019-04-12,^GSPTSE,S&P/TSX Composite index,Canada,16480.5,0.0049391749748468605
2019-04-15,^GSPTSE,S&P/TSX Composite index,Canada,16515.5,0.002123721974454762
2019-04-16,^GSPTSE,S&P/TSX Composite index,Canada,16502.19921875,-0.0008053514123096406
2019-04-17,^GSPTSE,S&P/TSX Composite index,Canada,16544.19921875,0.0025451153172528773
2019-04-18,^GSPTSE,S&P/TSX Composite index,Canada,16612.80078125,0.004146562888474703
2019-04-22,^GSPTSE,S&P/TSX Composite index,Canada,16577.30078125,-0.0021369063812567424
2019-04-23,^GSPTSE,S&P/TSX Composite index,Canada,16669.400390625,0.00555576632108723
2019-04-24,^GSPTSE,S&P/TSX Composite index,Canada,16586.5,-0.004973207714875194
2019-04-25,^GSPTSE,S&P/TSX Composite index,Canada,16576.099609375,-0.0006270394974828841
2019-04-26,^GSPTSE,S&P/TSX Composite index,Canada,16613.5,0.0022562841383897414
2019-04-29,^GSPTSE,S&P/TSX Composite index,Canada,16600.400390625,-0.0007884918515063122
2019-04-30,^GSPTSE,S&P/TSX Composite index,Canada,16580.69921875,-0.001186788957579954
2019-05-01,^GSPTSE,S&P/TSX Composite index,Canada,16502.80078125,-0.004698139473630292
2019-05-02,^GSPTSE,S&P/TSX Composite index,Canada,16410.900390625,-0.005568775375960122
2019-05-03,^GSPTSE,S&P/TSX Composite index,Canada,16494.400390625,0.0050880815806853
2019-05-06,^GSPTSE,S&P/TSX Composite index,Canada,16493.5,-5.458765421451073e-05
2019-05-07,^GSPTSE,S&P/TSX Composite index,Canada,16357.7998046875,-0.008227495395913498
2019-05-08,^GSPTSE,S&P/TSX Composite index,Canada,16397.400390625,0.002420899290267231
2019-05-09,^GSPTSE,S&P/TSX Composite index,Canada,16321.7998046875,-0.00461052265215911
2019-05-10,^GSPTSE,S&P/TSX Composite index,Canada,16297.599609375,-0.001482691590516283
2019-05-13,^GSPTSE,S&P/TSX Composite index,Canada,16193.400390625,-0.006393531639472871
2019-05-14,^GSPTSE,S&P/TSX Composite index,Canada,16284.5,0.00562572450365284
2019-05-15,^GSPTSE,S&P/TSX Composite index,Canada,16318.099609375,0.0020632877506217007
2019-05-16,^GSPTSE,S&P/TSX Composite index,Canada,16443.900390625,0.007709278914912687
2019-05-17,^GSPTSE,S&P/TSX Composite index,Canada,16401.80078125,-0.002560196083345345
2019-05-21,^GSPTSE,S&P/TSX Composite index,Canada,16426.5,0.0015058845720303804
2019-05-22,^GSPTSE,S&P/TSX Composite index,Canada,16327.400390625,-0.006032910807232228
2019-05-23,^GSPTSE,S&P/TSX Composite index,Canada,16164.599609375,-0.009971016656361131
2019-05-24,^GSPTSE,S&P/TSX Composite index,Canada,16230.0,0.00404590229300017
2019-05-27,^GSPTSE,S&P/TSX Composite index,Canada,16346.7001953125,0.007190400204097447
2019-05-28,^GSPTSE,S&P/TSX Composite index,Canada,16297.5,-0.0030097937029889277
2019-05-29,^GSPTSE,S&P/TSX Composite index,Canada,16131.5,-0.010185611290075114
2019-05-30,^GSPTSE,S&P/TSX Composite index,Canada,16089.2001953125,-0.0026221866960605134
2019-05-31,^GSPTSE,S&P/TSX Composite index,Canada,16037.5,-0.0032133477540768896
2019-06-03,^GSPTSE,S&P/TSX Composite index,Canada,16015.900390625,-0.0013468189789556106
2019-06-04,^GSPTSE,S&P/TSX Composite index,Canada,16166.2001953125,0.009384411804626236
2019-06-05,^GSPTSE,S&P/TSX Composite index,Canada,16212.7001953125,0.0028763716543287465
2019-06-06,^GSPTSE,S&P/TSX Composite index,Canada,16227.7998046875,0.0009313445134428999
2019-06-07,^GSPTSE,S&P/TSX Composite index,Canada,16231.0,0.00019720451022431362
2019-06-10,^GSPTSE,S&P/TSX Composite index,Canada,16216.2998046875,-0.0009056863602058263
2019-06-11,^GSPTSE,S&P/TSX Composite index,Canada,16248.7998046875,0.002004156335997598
2019-06-12,^GSPTSE,S&P/TSX Composite index,Canada,16227.2001953125,-0.0013293049108014099
2019-06-13,^GSPTSE,S&P/TSX Composite index,Canada,16239.2998046875,0.0007456375239947022
2019-06-14,^GSPTSE,S&P/TSX Composite index,Canada,16301.900390625,0.0038548820879229506
2019-06-17,^GSPTSE,S&P/TSX Composite index,Canada,16353.5,0.0031652511755424495
2019-06-18,^GSPTSE,S&P/TSX Composite index,Canada,16503.400390625,0.009166257414314982
2019-06-19,^GSPTSE,S&P/TSX Composite index,Canada,16511.80078125,0.0005090096844388992
2019-06-20,^GSPTSE,S&P/TSX Composite index,Canada,16574.80078125,0.003815453010524328
2019-06-21,^GSPTSE,S&P/TSX Composite index,Canada,16525.400390625,-0.002980451546716889
2019-06-24,^GSPTSE,S&P/TSX Composite index,Canada,16523.5,-0.00011499815920212875
2019-06-25,^GSPTSE,S&P/TSX Composite index,Canada,16371.2998046875,-0.009211135371592016
2019-06-26,^GSPTSE,S&P/TSX Composite index,Canada,16312.2001953125,-0.003609952177290099
2019-06-27,^GSPTSE,S&P/TSX Composite index,Canada,16307.7001953125,-0.0002758671390811207
2019-06-28,^GSPTSE,S&P/TSX Composite index,Canada,16382.2001953125,0.004568394016797983
2019-07-02,^GSPTSE,S&P/TSX Composite index,Canada,16471.30078125,0.0054388656514523515
2019-07-03,^GSPTSE,S&P/TSX Composite index,Canada,16576.19921875,0.006368558190583906
