date,market,market_name,variable,value
3/1/2020,US-NY-501,NYC,reservations,60
3/1/2020,US-NY-501,NYC,restaurants,69
3/1/2020,US-NY-501,NYC,restaurants near me,77
3/1/2020,US-NY-501,NYC,restaurants nearby,38
3/1/2020,US-NY-501,NYC,romantic restaurant,11
3/1/2020,US-NY-501,NYC,safe restaurants,45
3/1/2020,US-NY-501,NYC,shop small,5
3/1/2020,US-NY-501,NYC,shop small american express,0
3/1/2020,US-NY-501,NYC,takeout,32
3/1/2020,US-NY-501,NYC,takeout Tuesday,0
3/1/2020,US-NY-501,NYC,takeout restaurants,16
3/1/2020,US-NY-501,NYC,ubereats,56
3/1/2020,US-NY-501,NYC,wine delivery,9
3/1/2020,US-NY-501,NYC,winery near me,10
3/8/2020,US-NY-501,NYC,american express shop small,0
3/8/2020,US-NY-501,NYC,amex dining,0
3/8/2020,US-NY-501,NYC,amex shop small,0
3/8/2020,US-NY-501,NYC,bars near me,75
3/8/2020,US-NY-501,NYC,best appliances,9
3/8/2020,US-NY-501,NYC,best cookware,12
3/8/2020,US-NY-501,NYC,best restaurants,54
3/8/2020,US-NY-501,NYC,blue apron,18
3/8/2020,US-NY-501,NYC,breakfast near me,47
3/8/2020,US-NY-501,NYC,brewery near me,45
3/8/2020,US-NY-501,NYC,casual dining,0
3/8/2020,US-NY-501,NYC,coffee shops near me,18
3/8/2020,US-NY-501,NYC,delis near me,34
3/8/2020,US-NY-501,NYC,dining,38
3/8/2020,US-NY-501,NYC,dinner near me,32
3/8/2020,US-NY-501,NYC,door dash,36
3/8/2020,US-NY-501,NYC,doordash,27
3/8/2020,US-NY-501,NYC,drizly,16
3/8/2020,US-NY-501,NYC,fine dining,46
3/8/2020,US-NY-501,NYC,food delivery,39
3/8/2020,US-NY-501,NYC,food near me,54
3/8/2020,US-NY-501,NYC,grubhub,57
3/8/2020,US-NY-501,NYC,hellofresh,43
3/8/2020,US-NY-501,NYC,instacart,12
3/8/2020,US-NY-501,NYC,local dining,0
3/8/2020,US-NY-501,NYC,lunch near me,56
3/8/2020,US-NY-501,NYC,meal kits,0
3/8/2020,US-NY-501,NYC,meal subscription,37
3/8/2020,US-NY-501,NYC,online cooking classes,29
3/8/2020,US-NY-501,NYC,outdoor dining,5
3/8/2020,US-NY-501,NYC,places to eat,62
3/8/2020,US-NY-501,NYC,reservations,58
3/8/2020,US-NY-501,NYC,restaurants,60
3/8/2020,US-NY-501,NYC,restaurants near me,65
3/8/2020,US-NY-501,NYC,restaurants nearby,39
3/8/2020,US-NY-501,NYC,romantic restaurant,0
3/8/2020,US-NY-501,NYC,safe restaurants,100
3/8/2020,US-NY-501,NYC,shop small,10
3/8/2020,US-NY-501,NYC,shop small american express,0
3/8/2020,US-NY-501,NYC,takeout,21
3/8/2020,US-NY-501,NYC,takeout Tuesday,0
3/8/2020,US-NY-501,NYC,takeout restaurants,8
3/8/2020,US-NY-501,NYC,ubereats,57
3/8/2020,US-NY-501,NYC,wine delivery,7
3/8/2020,US-NY-501,NYC,winery near me,16
3/15/2020,US-NY-501,NYC,american express shop small,0
3/15/2020,US-NY-501,NYC,amex dining,0
3/15/2020,US-NY-501,NYC,amex shop small,0
3/15/2020,US-NY-501,NYC,bars near me,38
3/15/2020,US-NY-501,NYC,best appliances,62
3/15/2020,US-NY-501,NYC,best cookware,12
3/15/2020,US-NY-501,NYC,best restaurants,15
3/15/2020,US-NY-501,NYC,blue apron,100
3/15/2020,US-NY-501,NYC,breakfast near me,26
3/15/2020,US-NY-501,NYC,brewery near me,9
3/15/2020,US-NY-501,NYC,casual dining,0
3/15/2020,US-NY-501,NYC,coffee shops near me,18
3/15/2020,US-NY-501,NYC,delis near me,42
3/15/2020,US-NY-501,NYC,dining,24
3/15/2020,US-NY-501,NYC,dinner near me,28
3/15/2020,US-NY-501,NYC,door dash,43
3/15/2020,US-NY-501,NYC,doordash,40
3/15/2020,US-NY-501,NYC,drizly,58
3/15/2020,US-NY-501,NYC,fine dining,36
3/15/2020,US-NY-501,NYC,food delivery,65
3/15/2020,US-NY-501,NYC,food near me,42
3/15/2020,US-NY-501,NYC,grubhub,78
3/15/2020,US-NY-501,NYC,hellofresh,76
3/15/2020,US-NY-501,NYC,instacart,29
3/15/2020,US-NY-501,NYC,local dining,0
3/15/2020,US-NY-501,NYC,lunch near me,15
3/15/2020,US-NY-501,NYC,meal kits,64
3/15/2020,US-NY-501,NYC,meal subscription,0
3/15/2020,US-NY-501,NYC,online cooking classes,29
3/15/2020,US-NY-501,NYC,outdoor dining,4
3/15/2020,US-NY-501,NYC,places to eat,23
3/15/2020,US-NY-501,NYC,reservations,20
3/15/2020,US-NY-501,NYC,restaurants,62
3/15/2020,US-NY-501,NYC,restaurants near me,40
3/15/2020,US-NY-501,NYC,restaurants nearby,34
3/15/2020,US-NY-501,NYC,romantic restaurant,21
3/15/2020,US-NY-501,NYC,safe restaurants,14
3/15/2020,US-NY-501,NYC,shop small,5
3/15/2020,US-NY-501,NYC,shop small american express,0
3/15/2020,US-NY-501,NYC,takeout,100
3/15/2020,US-NY-501,NYC,takeout Tuesday,0
3/15/2020,US-NY-501,NYC,takeout restaurants,78
3/15/2020,US-NY-501,NYC,ubereats,65
3/15/2020,US-NY-501,NYC,wine delivery,50
3/15/2020,US-NY-501,NYC,winery near me,6
3/22/2020,US-NY-501,NYC,american express shop small,0
3/22/2020,US-NY-501,NYC,amex dining,0
3/22/2020,US-NY-501,NYC,amex shop small,0
3/22/2020,US-NY-501,NYC,bars near me,9
3/22/2020,US-NY-501,NYC,best appliances,9
3/22/2020,US-NY-501,NYC,best cookware,30
3/22/2020,US-NY-501,NYC,best restaurants,13
3/22/2020,US-NY-501,NYC,blue apron,59
3/22/2020,US-NY-501,NYC,breakfast near me,17
3/22/2020,US-NY-501,NYC,brewery near me,9
3/22/2020,US-NY-501,NYC,casual dining,22
3/22/2020,US-NY-501,NYC,coffee shops near me,19
3/22/2020,US-NY-501,NYC,delis near me,17
3/22/2020,US-NY-501,NYC,dining,22
3/22/2020,US-NY-501,NYC,dinner near me,11
3/22/2020,US-NY-501,NYC,door dash,47
3/22/2020,US-NY-501,NYC,doordash,54
3/22/2020,US-NY-501,NYC,drizly,55
3/22/2020,US-NY-501,NYC,fine dining,16
3/22/2020,US-NY-501,NYC,food delivery,75
3/22/2020,US-NY-501,NYC,food near me,41
3/22/2020,US-NY-501,NYC,grubhub,84
3/22/2020,US-NY-501,NYC,hellofresh,81
3/22/2020,US-NY-501,NYC,instacart,67
3/22/2020,US-NY-501,NYC,local dining,0
3/22/2020,US-NY-501,NYC,lunch near me,22
3/22/2020,US-NY-501,NYC,meal kits,79
3/22/2020,US-NY-501,NYC,meal subscription,0
3/22/2020,US-NY-501,NYC,online cooking classes,0
3/22/2020,US-NY-501,NYC,outdoor dining,2
3/22/2020,US-NY-501,NYC,places to eat,12
3/22/2020,US-NY-501,NYC,reservations,13
3/22/2020,US-NY-501,NYC,restaurants,30
3/22/2020,US-NY-501,NYC,restaurants near me,36
3/22/2020,US-NY-501,NYC,restaurants nearby,37
3/22/2020,US-NY-501,NYC,romantic restaurant,0
3/22/2020,US-NY-501,NYC,safe restaurants,29
3/22/2020,US-NY-501,NYC,shop small,11
3/22/2020,US-NY-501,NYC,shop small american express,0
3/22/2020,US-NY-501,NYC,takeout,97
3/22/2020,US-NY-501,NYC,takeout Tuesday,70
3/22/2020,US-NY-501,NYC,takeout restaurants,96
3/22/2020,US-NY-501,NYC,ubereats,79
3/22/2020,US-NY-501,NYC,wine delivery,66
3/22/2020,US-NY-501,NYC,winery near me,7
3/29/2020,US-NY-501,NYC,american express shop small,0
3/29/2020,US-NY-501,NYC,amex dining,39
3/29/2020,US-NY-501,NYC,amex shop small,0
3/29/2020,US-NY-501,NYC,bars near me,4
3/29/2020,US-NY-501,NYC,best appliances,34
