state,market_name,month,uempl_rate,uempl_mom,uempl_mom_%
ND,North Dakota,2020-06-01,0.07400000000000001,-0.016999999999999987,-0.1868131868131867
ND,North Dakota,2020-07-01,0.066,-0.008000000000000007,-0.10810810810810823
ND,North Dakota,2020-08-01,0.05,-0.016,-0.24242424242424243
ND,North Dakota,2020-09-01,0.044000000000000004,-0.005999999999999998,-0.12
ND,North Dakota,2020-10-01,0.047,0.0029999999999999957,0.06818181818181812
ND,North Dakota,2020-11-01,0.045,-0.0020000000000000018,-0.042553191489361764
ND,North Dakota,2020-12-01,0.040999999999999995,-0.0040000000000000036,-0.08888888888888902
NE,Nebraska,2020-01-01,0.028999999999999998,,
NE,Nebraska,2020-02-01,0.028999999999999998,0.0,0.0
NE,Nebraska,2020-03-01,0.04,0.011000000000000003,0.3793103448275863
NE,Nebraska,2020-04-01,0.087,0.04699999999999999,1.1749999999999998
NE,Nebraska,2020-05-01,0.053,-0.033999999999999996,-0.3908045977011494
NE,Nebraska,2020-06-01,0.055,0.0020000000000000018,0.037735849056603765
NE,Nebraska,2020-07-01,0.049,-0.005999999999999998,-0.10909090909090902
NE,Nebraska,2020-08-01,0.04,-0.009000000000000001,-0.18367346938775508
NE,Nebraska,2020-09-01,0.036000000000000004,-0.003999999999999997,-0.09999999999999987
NE,Nebraska,2020-10-01,0.03,-0.006000000000000005,-0.16666666666666674
NE,Nebraska,2020-11-01,0.03,0.0,0.0
NE,Nebraska,2020-12-01,0.03,0.0,0.0
NH,New Hampshire,2020-01-01,0.026000000000000002,,
NH,New Hampshire,2020-02-01,0.026000000000000002,0.0,0.0
NH,New Hampshire,2020-03-01,0.024,-0.0020000000000000018,-0.07692307692307698
NH,New Hampshire,2020-04-01,0.171,0.14700000000000002,6.125
NH,New Hampshire,2020-05-01,0.154,-0.017000000000000015,-0.09941520467836262
NH,New Hampshire,2020-06-01,0.092,-0.062,-0.4025974025974026
NH,New Hampshire,2020-07-01,0.08,-0.011999999999999997,-0.13043478260869557
NH,New Hampshire,2020-08-01,0.066,-0.013999999999999999,-0.17499999999999993
NH,New Hampshire,2020-09-01,0.057999999999999996,-0.008000000000000007,-0.12121212121212133
NH,New Hampshire,2020-10-01,0.042,-0.015999999999999993,-0.2758620689655171
NH,New Hampshire,2020-11-01,0.039,-0.0030000000000000027,-0.07142857142857151
NH,New Hampshire,2020-12-01,0.04,0.0010000000000000009,0.025641025641025772
NJ,New Jersey,2020-01-01,0.038,,
NJ,New Jersey,2020-02-01,0.038,0.0,0.0
NJ,New Jersey,2020-03-01,0.037000000000000005,-0.000999999999999994,-0.02631578947368407
NJ,New Jersey,2020-04-01,0.163,0.126,3.4054054054054053
NJ,New Jersey,2020-05-01,0.154,-0.009000000000000008,-0.05521472392638038
NJ,New Jersey,2020-06-01,0.168,0.014000000000000012,0.09090909090909105
NJ,New Jersey,2020-07-01,0.142,-0.026000000000000023,-0.15476190476190488
NJ,New Jersey,2020-08-01,0.111,-0.030999999999999986,-0.2183098591549295
NJ,New Jersey,2020-09-01,0.067,-0.044,-0.39639639639639634
NJ,New Jersey,2020-10-01,0.08,0.012999999999999998,0.19402985074626855
NJ,New Jersey,2020-11-01,0.102,0.021999999999999992,0.2749999999999999
NJ,New Jersey,2020-12-01,0.076,-0.025999999999999995,-0.2549019607843137
NM,New Mexico,2020-01-01,0.048,,
NM,New Mexico,2020-02-01,0.048,0.0,0.0
NM,New Mexico,2020-03-01,0.063,0.015,0.3125
NM,New Mexico,2020-04-01,0.11900000000000001,0.05600000000000001,0.8888888888888891
NM,New Mexico,2020-05-01,0.091,-0.02800000000000001,-0.23529411764705888
NM,New Mexico,2020-06-01,0.084,-0.006999999999999992,-0.07692307692307687
NM,New Mexico,2020-07-01,0.127,0.043,0.5119047619047619
NM,New Mexico,2020-08-01,0.114,-0.012999999999999998,-0.10236220472440938
NM,New Mexico,2020-09-01,0.099,-0.015,-0.13157894736842102
NM,New Mexico,2020-10-01,0.081,-0.018000000000000002,-0.18181818181818188
NM,New Mexico,2020-11-01,0.07200000000000001,-0.008999999999999994,-0.11111111111111105
NM,New Mexico,2020-12-01,0.08199999999999999,0.009999999999999981,0.13888888888888862
NV,Nevada,2020-01-01,0.036000000000000004,,
NV,Nevada,2020-02-01,0.036000000000000004,0.0,0.0
NV,Nevada,2020-03-01,0.069,0.033,0.9166666666666665
